Country,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia
Romania,57,5.82,1.22,1.15,0.69,0.46,0.13,0,2.176831484
Bolivia,58,5.82,0.83,1.23,0.47,0.56,0.23,0.06,2.443279028
Turkmenistan,59,5.82,1.13,1.49,0.44,0.42,0.25,0.26,1.832909822
Kazakhstan,60,5.82,1.28,1.38,0.61,0.44,0.2,0.12,1.784892559
North Cyprus,61,5.81,1.35,1.19,0.83,0.47,0.27,0.16,1.549157619
Slovenia,62,5.76,1.34,1.45,0.79,0.57,0.24,0.05,1.313317299
Peru,63,5.72,1.04,1.22,0.63,0.45,0.13,0.05,2.20726943
Mauritius,64,5.63,1.19,1.21,0.64,0.49,0.36,0.04,1.697583914
Cyprus,65,5.62,1.36,1.13,0.84,0.36,0.27,0.04,1.621249199
Estonia,66,5.61,1.32,1.48,0.7,0.48,0.1,0.18,1.357508659
Belarus,67,5.57,1.16,1.44,0.64,0.3,0.16,0.16,1.723232985
Libya,68,5.53,1.1,1.36,0.52,0.47,0.15,0.09,1.835011244
Turkey,69,5.5,1.2,1.34,0.64,0.3,0.05,0.1,1.879277945
Paraguay,70,5.49,0.93,1.51,0.58,0.47,0.22,0.09,1.68533349
"Hong Kong S.A.R., China",71,5.47,1.55,1.26,0.94,0.49,0.37,0.29,0.554633141
Philippines,72,5.43,0.86,1.25,0.47,0.59,0.19,0.1,1.972604752
Serbia,73,5.39,1.07,1.26,0.65,0.21,0.22,0.04,1.947084427
Jordan,74,5.34,0.99,1.24,0.6,0.42,0.17,0.12,1.791176558
Hungary,75,5.32,1.29,1.34,0.69,0.18,0.08,0.04,1.716459274
Jamaica,76,5.31,0.93,1.37,0.64,0.47,0.23,0.06,1.612325668
Croatia,77,5.29,1.22,0.97,0.7,0.26,0.25,0.04,1.854492426
Kosovo,78,5.28,0.95,1.14,0.54,0.26,0.32,0.06,2.010540724
China,79,5.27,1.08,1.16,0.74,0.47,0.03,0.02,1.764938593
Pakistan,80,5.27,0.73,0.67,0.4,0.24,0.32,0.12,2.79248929
Indonesia,81,5.26,1,1.27,0.49,0.44,0.61,0.02,1.429476976
Venezuela,82,5.25,1.13,1.43,0.62,0.15,0.07,0.06,1.789463758
Montenegro,83,5.24,1.12,1.24,0.67,0.19,0.2,0.09,1.729191542
Morocco,84,5.24,0.88,0.77,0.6,0.41,0.03,0.09,2.456189394
Azerbaijan,85,5.23,1.15,1.15,0.54,0.4,0.05,0.18,1.762481689
Dominican Republic,86,5.23,1.08,1.4,0.57,0.55,0.19,0.11,1.31946516
Greece,87,5.23,1.29,1.24,0.81,0.1,0,0.04,1.749221563
Lebanon,88,5.22,1.07,1.13,0.74,0.29,0.26,0.04,1.695073843
Portugal,89,5.2,1.32,1.37,0.8,0.5,0.1,0.02,1.107682705
Bosnia and Herzegovina,90,5.18,0.98,1.07,0.71,0.2,0.33,0,1.892172575
Honduras,91,5.18,0.73,1.14,0.58,0.35,0.24,0.07,2.065811157
Macedonia,92,5.18,1.06,1.21,0.64,0.33,0.25,0.06,1.617469311
Somalia,93,5.15,0.02,0.72,0.11,0.6,0.29,0.28,3.11748457
Vietnam,94,5.07,0.79,1.28,0.65,0.57,0.23,0.09,1.462318659
Nigeria,95,5.07,0.78,1.22,0.06,0.39,0.23,0.03,2.365390539
Tajikistan,96,5.04,0.52,1.27,0.53,0.47,0.25,0.15,1.84904933
Bhutan,97,5.01,0.89,1.34,0.5,0.5,0.47,0.17,1.140184402
Kyrgyzstan,98,5,0.6,1.39,0.55,0.45,0.43,0.04,1.536723137
Nepal,99,4.96,0.48,1.18,0.5,0.44,0.39,0.07,1.891241074
Mongolia,100,4.95,1.03,1.49,0.56,0.39,0.34,0.03,1.111292362
South Africa,101,4.83,1.05,1.38,0.19,0.48,0.14,0.07,1.510908604
Tunisia,102,4.8,1.01,0.87,0.61,0.29,0.05,0.09,1.89025116
Palestinian Territories,103,4.78,0.72,1.16,0.57,0.25,0.11,0.09,1.878890276
Egypt,104,4.74,0.99,1,0.52,0.28,0.13,0.11,1.702161074
Bulgaria,105,4.71,1.16,1.43,0.71,0.29,0.11,0.01,0.996139288
Sierra Leone,106,4.71,0.37,0.98,0.01,0.32,0.29,0.07,2.668459892
Cameroon,107,4.7,0.56,0.95,0.13,0.43,0.24,0.05,2.333645582
Iran,108,4.69,1.16,0.71,0.64,0.25,0.39,0.05,1.498734951
Albania,109,4.64,1,0.8,0.73,0.38,0.2,0.04,1.490441561
Bangladesh,110,4.61,0.59,0.74,0.53,0.48,0.17,0.12,1.978736162
Namibia,111,4.57,0.96,1.1,0.34,0.52,0.08,0.09,1.481890202
Kenya,112,4.55,0.56,1.07,0.31,0.45,0.44,0.06,1.651902199
Mozambique,113,4.55,0.23,0.87,0.11,0.48,0.32,0.18,2.355650902
Myanmar,114,4.55,0.37,1.12,0.4,0.51,0.84,0.19,1.115290403
Senegal,115,4.53,0.48,1.18,0.41,0.38,0.18,0.12,1.789646149
Zambia,116,4.51,0.64,1,0.26,0.46,0.25,0.08,1.826705456
Iraq,117,4.5,1.1,0.98,0.5,0.29,0.2,0.11,1.318907261
Gabon,118,4.47,1.2,1.16,0.36,0.31,0.04,0.08,1.322916269
Ethiopia,119,4.46,0.34,0.86,0.35,0.41,0.31,0.17,2.015743732
Sri Lanka,120,4.44,1.01,1.26,0.63,0.56,0.49,0.07,0.419389248
Armenia,121,4.38,0.9,1.01,0.64,0.2,0.08,0.03,1.521499157
India,122,4.32,0.79,0.75,0.46,0.47,0.23,0.09,1.519117117
Mauritania,123,4.29,0.65,1.27,0.29,0.1,0.2,0.14,1.651637316
Congo (Brazzaville),124,4.29,0.81,0.83,0.29,0.44,0.12,0.08,1.724135637
Georgia,125,4.29,0.95,0.57,0.65,0.31,0.05,0.25,1.500137806
Congo (Kinshasa),126,4.28,0.09,1.23,0.19,0.24,0.25,0.06,2.224958658
Mali,127,4.19,0.48,1.28,0.17,0.31,0.18,0.1,1.668190956
Ivory Coast,128,4.18,0.6,0.9,0.05,0.45,0.2,0.13,1.844964266
Cambodia,129,4.17,0.6,1.01,0.43,0.63,0.39,0.07,1.042941093
Sudan,130,4.14,0.66,1.21,0.29,0.01,0.18,0.09,1.68706584
Ghana,131,4.12,0.67,0.87,0.3,0.42,0.26,0.03,1.577867508
Ukraine,132,4.1,0.89,1.39,0.58,0.12,0.27,0.02,0.814382315
Uganda,133,4.08,0.38,1.13,0.22,0.44,0.33,0.06,1.526362658
Burkina Faso,134,4.03,0.35,1.04,0.22,0.32,0.25,0.12,1.727212906
Niger,135,4.03,0.16,0.99,0.27,0.36,0.23,0.14,1.873983383
Malawi,136,3.97,0.23,0.51,0.32,0.47,0.29,0.07,2.081786156
Chad,137,3.94,0.44,0.95,0.04,0.16,0.22,0.05,2.071238041
Zimbabwe,138,3.88,0.38,1.08,0.2,0.34,0.19,0.1,1.597970247
Lesotho,139,3.81,0.52,1.19,0,0.39,0.16,0.12,1.42983532
Angola,140,3.8,0.86,1.1,0.05,0,0.1,0.07,1.614482403
Afghanistan,141,3.79,0.4,0.58,0.18,0.11,0.31,0.06,2.150801182
Botswana,142,3.77,1.12,1.22,0.34,0.51,0.1,0.1,0.377913713
Benin,143,3.66,0.43,0.44,0.21,0.43,0.21,0.06,1.885630965
Madagascar,144,3.64,0.31,0.91,0.38,0.19,0.21,0.07,1.584612608
Haiti,145,3.6,0.37,0.64,0.28,0.03,0.49,0.1,1.697167635
Yemen,146,3.59,0.59,0.94,0.31,0.25,0.1,0.06,1.345600605
South Sudan,147,3.59,0.4,0.6,0.16,0.15,0.29,0.12,1.879567385
Liberia,148,3.53,0.12,0.87,0.23,0.33,0.27,0.04,1.673285961
Guinea,149,3.51,0.24,0.79,0.19,0.35,0.26,0.11,1.552311897
Togo,150,3.49,0.31,0.43,0.25,0.38,0.2,0.1,1.837229252
Rwanda,151,3.47,0.37,0.95,0.33,0.58,0.25,0.46,0.540061235
Syria,152,3.46,0.78,0.4,0.5,0.08,0.49,0.15,1.061573505
Tanzania,153,3.35,0.51,1.04,0.36,0.39,0.35,0.07,0.621130466
Burundi,154,2.9,0.09,0.63,0.15,0.06,0.2,0.08,1.683024168
Central African Republic,155,2.69,0,0,0.02,0.27,0.28,0.06,2.066004753
